Comb version 0.3.1
Args  ./comb;512_512_512;-divide;2_2_1;-periodic;1_1_1;-ghost;1_1_1;-vars;3;-comm;cutoff;250;-comm;enable;mpi;-comm;post_recv;wait_all;-comm;post_send;wait_all;-comm;wait_recv;test_all;-comm;wait_send;test_all;-exec;enable;omp;-print_message_sizes;-print_packing_sizes
Started rank 0 of 4
Node cm4r13c01s08
Compiler "/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-compilers/2024.1.0-gcc-ibqwgcs/compiler/2024.1/bin/icpx"
OMP num threads     1
OMP thread map      0
Cart coords         0        0        0
Message policy cutoff 250
Post Recv using wait_all method
Post Send using wait_all method
Wait Recv using test_all method
Wait Send using test_all method
Num cycles          5
Num vars            3
ghost_widths        1        1        1
sizes             512      512      512
divisions           2        2        1
periodic            1        1        1
division map
map                 0        0        0
map               256      256      512
map               512      512         
print message and packing sizes to proc file(s)
Starting test memcpy seq dst Host src Host
                      ,    number,  average(s),      min(s),      max(s)
pre-comm  ,        20, 0.182011113, 0.174417575, 0.190922140
post-recv ,        20, 0.000022297, 0.000018008, 0.000036779
post-send ,        20, 0.015506564, 0.007966379, 0.020821333
mid-comm  ,        20, 0.184330448, 0.165026227, 0.201175640
wait-recv ,        20, 0.019978368, 0.009339163, 0.029845906
wait-send ,        20, 0.000561427, 0.000525355, 0.000604435
post-comm ,        20, 0.180925501, 0.173156802, 0.187800422
start-up  ,         4, 0.244004342, 0.242016617, 0.248132730
test-comm ,         4, 2.704379335, 2.697524616, 2.712000104
bench-comm,         4, 2.964621076, 2.951999953, 2.975999622
