queue,run_name,case_id,case_label,section,bench_with_compute_s,bench_no_midcomm_s,compute_s,fixed_mock_window_no_s,fixed_mock_window_with_s,comm_window_s,measured_window_s,ideal_s,serial_s,overhead_ratio,overlap_ratio
cm4_inter,run_2_samll_mess_inter,00,async0_c1_waitall,mock omp,2.203530,1.632365,0.559286,0.000000,0.000000,0.222585,0.784977,0.559286,0.781871,1.013955,-0.013955
cm4_inter,run_2_samll_mess_inter,00,async0_c1_waitall,mpi  seq,2.406928,1.591392,0.586752,0.222684,0.226028,0.128494,0.735149,0.586752,0.715246,1.154895,-0.154895
cm4_inter,run_2_samll_mess_inter,00,async0_c1_waitall,mpi  omp,2.175507,1.619749,0.540120,0.222585,0.225691,0.132009,0.670593,0.540120,0.672129,0.988362,0.011638
cm4_inter,run_2_samll_mess_inter,01,async0_c4_waitall,mock seq,2.048690,1.481670,0.540984,0.000000,0.000000,0.213160,0.756813,0.540984,0.754143,1.012524,-0.012524
cm4_inter,run_2_samll_mess_inter,01,async0_c4_waitall,mock omp,0.904837,0.696617,0.213513,0.000000,0.000000,0.141870,0.342887,0.213513,0.355383,0.911920,0.088080
cm4_inter,run_2_samll_mess_inter,01,async0_c4_waitall,mpi  seq,2.218322,1.632934,0.564247,0.213160,0.215829,0.160977,0.707408,0.564247,0.725224,0.889328,0.110672
cm4_inter,run_2_samll_mess_inter,01,async0_c4_waitall,mpi  omp,1.066252,0.886325,0.207309,0.141870,0.129374,0.155287,0.366009,0.207309,0.362595,1.021985,-0.021985
cm4_inter,run_2_samll_mess_inter,02,async0_c1_testall,mock seq,2.036171,1.505724,0.542778,0.000000,0.000000,0.215340,0.757892,0.542778,0.758118,0.998953,0.001047
cm4_inter,run_2_samll_mess_inter,02,async0_c1_testall,mock omp,2.210124,1.682135,0.561197,0.000000,0.000000,0.230558,0.789400,0.561197,0.791754,0.989789,0.010211
cm4_inter,run_2_samll_mess_inter,02,async0_c1_testall,mpi  seq,2.471035,1.839122,0.594184,0.215340,0.215115,0.269977,0.762420,0.594184,0.864160,0.623153,0.376847
cm4_inter,run_2_samll_mess_inter,02,async0_c1_testall,mpi  omp,2.438717,1.825624,0.571537,0.230558,0.228203,0.237639,0.725947,0.571537,0.809176,0.649766,0.350234
cm4_inter,run_2_samll_mess_inter,03,async0_c4_testall,mock seq,2.218875,1.625621,0.561476,0.000000,0.000000,0.223477,0.786988,0.561476,0.784953,1.009103,-0.009103
cm4_inter,run_2_samll_mess_inter,03,async0_c4_testall,mock omp,0.992722,1.003064,0.221551,0.000000,0.000000,0.150950,0.356646,0.221551,0.372500,0.894967,0.105033
cm4_inter,run_2_samll_mess_inter,03,async0_c4_testall,mpi  seq,2.489637,1.770711,0.600140,0.223477,0.225511,0.220967,0.751555,0.600140,0.821107,0.685240,0.314760
cm4_inter,run_2_samll_mess_inter,03,async0_c4_testall,mpi  omp,1.072062,0.991772,0.207774,0.150950,0.135095,0.214799,0.360421,0.214799,0.422573,0.700868,0.299132
cm4_inter,run_2_samll_mess_inter,04,async1_c1_waitall,mock seq,4.042124,2.943863,1.076788,0.000000,0.000000,0.420679,1.505531,1.076788,1.497468,1.019167,-0.019167
cm4_inter,run_2_samll_mess_inter,04,async1_c1_waitall,mock omp,4.119830,2.999712,1.090565,0.000000,0.000000,0.440646,1.528039,1.090565,1.531211,0.992803,0.007197
cm4_inter,run_2_samll_mess_inter,04,async1_c1_waitall,mpi  seq,4.587995,3.332487,1.146943,0.420679,0.428743,0.382489,1.342160,1.146943,1.529433,0.510384,0.489616
cm4_inter,run_2_samll_mess_inter,04,async1_c1_waitall,mpi  omp,4.440995,3.683861,1.106101,0.440646,0.437475,0.534910,1.235262,1.106101,1.641011,0.241463,0.758537
cm4_inter,run_2_samll_mess_inter,05,async1_c4_waitall,mock seq,3.514704,1.631432,1.110262,0.000000,0.000000,0.222915,1.403860,1.110262,1.333177,1.317087,-0.317087
cm4_inter,run_2_samll_mess_inter,05,async1_c4_waitall,mock omp,1.173336,1.024514,0.272631,0.000000,0.000000,0.173143,0.456025,0.272631,0.445774,1.059205,-0.059205
